lat,lon,alt,date,device,os,version
33.7774925232,-84.3953323364,282.454620361,2012-10-31 15:32:16,"iPhone4,1",6.0,1.1
33.7768859863,-84.3899765015,307.602935791,2012-10-31 23:21:36,"iPhone4,1",6.0,1.1
33.776134491,-84.3846206665,311.876800537,2012-11-01 00:17:04,"iPhone4,1",6.0,1.1
33.7801933289,-84.3887405396,303,2012-11-01 00:49:04,"iPhone4,1",6.0,1.1
33.776512146,-84.3830413818,306.316650391,2012-11-01 00:59:44,"iPhone4,1",6.0,1.1
33.7783470154,-84.3687820435,290.086425781,2012-11-01 01:42:24,"iPhone4,1",6.0,1.1
33.7743911743,-84.3797149658,288.01651001,2012-11-01 01:57:20,"iPhone4,1",6.0,1.1
33.7771606445,-84.3974685669,296.648712158,2012-11-01 18:05:52,"iPhone4,1",6.0,1.1
33.7819786072,-84.4076156616,296.457946777,2012-11-01 23:23:44,"iPhone4,1",6.0,1.1
33.7854499817,-84.4120101929,299.34487915,2012-11-01 23:36:32,"iPhone4,1",6.0,1.1
33.7865867615,-84.4051055908,283.009033203,2012-11-02 06:41:04,"iPhone4,1",6.0,1.1
33.7799339294,-84.3946762085,278.000274658,2012-11-02 06:53:52,"iPhone4,1",6.0,1.1
33.7842216492,-84.3988800049,279.513031006,2012-11-02 07:13:04,"iPhone4,1",6.0,1.1
33.7797050476,-84.3990325928,288.623168945,2012-11-02 16:38:24,"iPhone4,1",6.0,1.1
33.7765808105,-84.386390686,305.765686035,2012-11-02 20:16:00,"iPhone4,1",6.0,1.1
33.7745094299,-84.3798675537,289.558288574,2012-11-02 20:48:00,"iPhone4,1",6.0,1.1
33.7745056152,-84.3798522949,289.410217285,2012-11-02 23:25:52,"iPhone4,1",6.0.1,1.1
33.7823600769,-84.3829269409,299.622741699,2012-11-03 19:46:08,"iPhone4,1",6.0.1,1.1
33.7832527161,-84.3991165161,282.304382324,2012-11-03 19:50:24,"iPhone4,1",6.0.1,1.1
33.7497901917,-84.3700637817,301.037719727,2012-11-03 20:03:12,"iPhone4,1",6.0.1,1.1
33.7534179688,-84.3452377319,303.398162842,2012-11-03 20:13:52,"iPhone4,1",6.0.1,1.1
33.7509803772,-84.3664703369,312.803131104,2012-11-03 20:20:16,"iPhone4,1",6.0.1,1.1
33.7454910278,-84.369102478,300.872253418,2012-11-03 21:56:16,"iPhone4,1",6.0.1,1.1
33.7375946045,-84.3736953735,301,2012-11-03 22:04:48,"iPhone4,1",6.0.1,1.1
33.74243927,-84.3506088257,301,2012-11-03 23:19:28,"iPhone4,1",6.0.1,1.1
33.7604064941,-84.292137146,295,2012-11-03 23:21:36,"iPhone4,1",6.0.1,1.1
33.7612686157,-84.2926559448,295,2012-11-03 23:21:36,"iPhone4,1",6.0.1,1.1
33.7622451782,-84.2925796509,296,2012-11-03 23:21:36,"iPhone4,1",6.0.1,1.1
33.7631568909,-84.2925109863,298,2012-11-03 23:21:36,"iPhone4,1",6.0.1,1.1
33.7641601562,-84.2926025391,303,2012-11-03 23:21:36,"iPhone4,1",6.0.1,1.1
33.7651023865,-84.2926330566,307,2012-11-03 23:23:44,"iPhone4,1",6.0.1,1.1
33.766040802,-84.2926330566,308,2012-11-03 23:23:44,"iPhone4,1",6.0.1,1.1
33.7669830322,-84.2925949097,307,2012-11-03 23:23:44,"iPhone4,1",6.0.1,1.1
33.7758674622,-84.2880935669,305.908905029,2012-11-03 23:32:16,"iPhone4,1",6.0.1,1.1
33.7652168274,-84.2963562012,313.906951904,2012-11-04 01:18:56,"iPhone4,1",6.0.1,1.1
33.7470626831,-84.3516464233,300.890991211,2012-11-04 01:25:20,"iPhone4,1",6.0.1,1.1
33.7375259399,-84.3737182617,301,2012-11-04 01:36:00,"iPhone4,1",6.0.1,1.1
33.7304725647,-84.3641433716,301,2012-11-04 02:57:04,"iPhone4,1",6.0.1,1.1
33.7376365662,-84.3737411499,301.849975586,2012-11-04 03:01:20,"iPhone4,1",6.0.1,1.1
33.749042511,-84.3871154785,301.000488281,2012-11-04 04:13:52,"iPhone4,1",6.0.1,1.1
33.773059845,-84.3902740479,303,2012-11-04 04:20:16,"iPhone4,1",6.0.1,1.1
33.7849731445,-84.4070053101,279.395141602,2012-11-04 04:26:40,"iPhone4,1",6.0.1,1.1
33.7817649841,-84.3990707397,303,2012-11-04 04:45:52,"iPhone4,1",6.0.1,1.1
33.7808036804,-84.3905487061,284.55847168,2012-11-04 04:50:08,"iPhone4,1",6.0.1,1.1
33.7761917114,-84.3830413818,305.350952148,2012-11-04 04:56:32,"iPhone4,1",6.0.1,1.1
